# image-id: battle-overlay
# annotated_functions/total_functions: 862/862
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: 1830b4ef1fe37129972fc310dfad534f8161d6c0b123e74254c3711334a3e291
# load-address: 0x8006faf0
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battle-image
# format: address, note

0x80070E2C, function start — BattleEventOverlayLoad; conditionally loads and enters the separate Battle Event overlay.
0x80070EB0, function start — BattleEventOverlayUpdate; conditionally invokes the separate Battle Event update entry.
0x80070EDC, function start — BattleEventOverlayShutdown; conditionally closes the separate overlay and restores Battle music.
0x80070F40, function start — BattleMain; loads, runs, renders, and shuts down the central Battle mode.
0x800711A0, call site — Battle startup creates its initial fullscreen fader.
0x800711A8, return site — resumes after initial Battle fader creation.
0x800711C8, call site — conditional Battle startup path creates a transition fader.
0x800711D0, return site — resumes after conditional startup fader creation.
0x80071680, call site — Battle shutdown creates its transition fader.
0x80071688, call site — resumes from fader creation and invokes BattleEventOverlayShutdown.
0x80071690, call site — invokes the separate Battle Event finalization entry.
0x80071698, return site — resumes central Battle shutdown after Battle Event finalization.
0x800716D8, function start — BattleRenderDebugAndMain; executes one Battle update and render iteration.
0x8007171C, function start — BattleTimeProgress; advances readiness timers and timed statuses for all entities.
0x800718BC, function start — BattleUpdateTicksEndOfTurn; resets readiness and reloads the acting entity's turn timer.
0x80071964, function start — BattleLoadPendingAttackNameTexture; conditionally renders the pending attack name, uploads it to VRAM, and advances three frames.
0x80071A08, function start — BattleClearPartyStatusRefreshFlags; clears the three party status-display refresh flags.
0x80071A38, function start — BattleCommitPartyStatusRefreshFlags; copies the three pending party status refresh flags into display state and advances one frame.
0x80071A8C, function start — BattleHideAllMonsterNameDisplays; hides all eight monster-name entries, closes both name windows, and advances one frame.
0x80071AE0, function start — BattleShowPendingAttackNameTimed; conditionally displays the pending attack name for up to 59 frames or until input, then hides it.
0x80071B94, function start — BattleTickMain; executes one complete combatant turn and its cleanup.
0x80071BA0, function start — BattleTickMainPreserveNameSlotCounter; continuation entry that begins turn execution without resetting the monster-name slot counter to one, resolves the selected turn and reactions, and restores readiness progression.
0x80072270, function start — BattleApplyDeferredReadyEffects; applies deferred readiness and timer effects.
0x80072324, function start — BattleExecuteForcedEnemyTurns; executes special-mode turns for enemy slots selected by the forced-turn mask after clearing action and script scratch state.
0x800723E0, function start — BattleTickGameplay; selects the next ready combatant and enters turn handling.
0x8007252C, function start — BattleCheckWinConditions; rebuilds the living mask and sets victory or defeat.
0x800728B8, function start — BattleSubmitDoubleBufferedPacketRange; submits one selected packet from each consecutive double-buffered pair to the Battle ordering table.
0x80072938, function start — BattleTintHpTextPacketRange; disables texture shading and colors a current-buffer HP text range yellow or red.
0x80072A9C, function start — BattleBuildCharacterHpTextPackets; builds current and maximum character HP digits with a separator and optionally applies warning tinting.
0x80072DA8, function start — BattleBuildGearHpTextPackets; builds a five-digit Gear HP display and optionally applies warning tinting.
0x80072F38, function start — BattleFormatHpDisplayValues; computes HP digits, blanks, and warning colors.
0x80073380, function start — BattleBuildApOrFuelValueTextPackets; converts the selected party member's AP or fuel value into four positioned digit packets.
0x80073538, function start — BattleUpdatePortraitsAndTimeBars; rebuilds portraits and active or transitioning time bars.
0x80073A58, function start — BattleDrawActivePortraitSelection; draws the highlighted portrait selection.
0x80073B64, function start — BattleStageActionLines; authenticates and stages captured Battle UI line packets.
0x80073E80, return site — returns from the authenticated Battle UI line stage.
0x80073E88, function start — BattleDrawCommandRing; draws enabled command-ring primitive groups.
0x80073F08, function start — BattleDrawAuxiliaryUiTextGroups; submits each enabled auxiliary Battle text group using its packet count and active buffer.
0x80073FB8, function start — BattleDrawApBarsAndDialogWindows; draws AP bars and active dialog-window packets.
0x800742A0, function start — BattleRefreshPartyStatusTextPackets; rebuilds dirty party AP, fuel, and HP text packets and clears their refresh flags.
0x800743A4, function start — BattleDrawChiMenuEpCostPanels; submits the four chi-menu EP cost panel packets when cost display is enabled.
