# image-id: menu-overlay
# annotated_functions/total_functions: 362/362
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: 82f84a24ac1fd1979754e1cc9c861405fb59ce95dd78db00a76f00c8f1bd177d
# load-address: 0x801c5000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: menu-image
# format: address, note

0x801C531C, function start — MenuExecuteSelection; dispatches the selected central-menu action.
0x801C55A0, function start — MainMenuExecute; runs navigation and selection for the seven-entry menu.
0x801C57A4, function start — LoadSaveGameMenuExecute; runs the title load/save menu.
0x801C58EC, function start — RunLoadSaveTitleSelectionLoop; runs the three-entry load/save title menu with wrapping navigation, selection updates, confirmation dispatch, and a 600-frame Disc 1 timeout.
0x801C5B54, function start — ToggleMemoryCardWorkspaceAllocation; allocates and clears 0x5034 bytes for memory-card state when enabled and releases that storage when disabled.
0x801C5BB8, function start — ToggleMenuPresentationAllocation; allocates and clears 0x6C bytes for shared presentation state when enabled and releases that storage when disabled.
0x801C5C1C, function start — ToggleMainMenuEntryAllocation; allocates and clears 0x1194 bytes for main-menu entries when enabled and releases that storage when disabled.
0x801C5C80, function start — ToggleMenuTextBatchAllocation; allocates and clears 0x140C bytes for menu text batches when enabled and releases that storage when disabled.
0x801C5CE4, function start — ToggleMenuResourceStateAllocation; allocates and clears 0xCC bytes for menu resource state when enabled and releases that storage when disabled.
0x801C5D48, function start — ToggleMenuCursorAllocation; allocates and clears 0x328 bytes for cursor rendering when enabled and releases that storage when disabled.
0x801C5DAC, function start — ToggleGoldDisplayAllocation; allocates and clears 0x374 bytes for the gold display when enabled and releases that storage when disabled.
0x801C5E10, function start — TogglePlayTimeDisplayAllocation; allocates and clears 0x15C bytes for the play-time display when enabled and releases that storage when disabled.
0x801C5E74, function start — TogglePartyCardAllocation; allocates and clears three 0x127C-byte party-card workspaces when enabled and releases all three when disabled.
0x801C5F10, function start — DrawMenuPrimaryElements; dispatches the primary menu draw group.
0x801C5FE4, function start — MenuMainLoopShutdown; renders final frames and releases menu resources.
0x801C62A8, function start — MenuOverlayEntry; initializes and dispatches normal or load-game operation.
0x801C6400, function start — SetupMenuModeSpecificElements; initializes mode-specific presentation.
0x801C65F4, function start — ProcessMenuDebugSelector; implements the development submenu selector.
0x801C6AA0, function start — InitMenuGlobals; initializes selection, party availability, and shared resources.
0x801C6D4C, function start — ResetMenuParity; resets double-buffer parity.
0x801C6D5C, function start — ResetMemoryCardAnimationState; clears the memory-card drawing mode, icon animation counters, fade level, and fade direction.
0x801C6D90, function start — UploadBlankMenuPalette; creates a 16-color palette with white in entry one and black elsewhere, uploads it to VRAM at 0,448, waits for completion, and releases the temporary buffer.
0x801C6E0C, function start — InitMenuTextContexts; initializes prerendered text contexts.
0x801C6E68, function start — ComputeMenuBorderGlyphs; resolves the four border font glyphs.
0x801C6F70, function start — InitMenuCursorAndBackgroundPrimitives; builds cursor, background, and draw-mode packets.
